"","BARRIO","FECHA","A�O_2018_PRED"
"342","Barrio Colón",2018-06-02,2.3495145631068
"343","Barrio Colón",2018-06-03,2.52459016393443
"344","Barrio Colón",2018-06-05,2.29133858267717
"345","Barrio Colón",2018-06-06,1.93502824858757
"346","Barrio Colón",2018-06-07,1.87378640776699
"347","Barrio Colón",2018-06-08,1.88842975206612
"348","Barrio Colón",2018-06-09,2.11538461538462
"349","Barrio Colón",2018-06-10,1.5068306010929
"350","Barrio Colón",2018-06-11,2.20673076923077
"351","Barrio Colón",2018-06-12,1.42
"352","Barrio Colón",2018-06-14,2.02390438247012
"353","Barrio Colón",2018-06-16,2.30357142857143
"354","Barrio Colón",2018-06-17,2.21830985915493
"355","Barrio Colón",2018-06-20,2.41525423728814
"356","Barrio Colón",2018-06-22,2.02094240837696
"357","Barrio Colón",2018-06-23,2.2046783625731
"358","Barrio Colón",2018-06-24,2.01986754966887
"359","Barrio Colón",2018-06-26,1.55925925925926
"360","Barrio Colón",2018-06-27,1.98660714285714
"361","Barrio Colón",2018-06-28,2.11428571428571
"362","Barrio Colón",2018-06-29,1.98529411764706
"363","Barrio Colón",2018-06-30,2.22641509433962
"364","Barrio Colón",2018-07-04,1.57943925233645
"365","Barrio Colón",2018-07-05,1.87378640776699
"366","Barrio Colón",2018-07-06,2.22929936305732
"367","Barrio Colón",2018-07-08,2.27722772277228
"368","Barrio Colón",2018-07-09,1.70756302521008
"369","Barrio Colón",2018-07-10,2.03289473684211
"370","Barrio Colón",2018-07-13,1.57943925233645
"371","Barrio Colón",2018-07-14,2.23076923076923
"372","Barrio Colón",2018-07-15,2.21969696969697
"373","Barrio Colón",2018-07-17,2.39473684210526
"374","Barrio Colón",2018-07-18,2.36111111111111
"375","Barrio Colón",2018-07-19,2.40350877192982
"376","Barrio Colón",2018-07-21,2.4
"377","Barrio Colón",2018-07-22,2.03249097472924
"378","Barrio Colón",2018-07-25,2.13422818791946
"379","Barrio Colón",2018-07-26,1.78275862068966
"380","Barrio Colón",2018-07-27,2.27450980392157
"381","Barrio Colón",2018-07-28,2.17518248175182
"382","Barrio Colón",2018-08-01,2.13131313131313
"383","Barrio Colón",2018-08-02,1.92517006802721
"384","Barrio Colón",2018-08-04,2.18032786885246
"385","Barrio Colón",2018-08-05,2.26896551724138
"386","Barrio Colón",2018-08-07,2.0948275862069
"387","Barrio Colón",2018-08-09,1.79411764705882
"388","Barrio Colón",2018-08-10,1.43214285714286
"389","Barrio Colón",2018-08-12,2.18260869565217
"390","Barrio Colón",2018-08-14,1.9527027027027
"391","Barrio Colón",2018-08-15,1.8159509202454
"392","Barrio Colón",2018-08-17,1.72151898734177
"393","Barrio Colón",2018-08-18,2.20218579234973
"394","Barrio Colón",2018-08-19,2.12853470437018
