"","MES","BARRIO","A�O_2018_PRED"
"222","02","Las Brisas",11.7759139362029
"223","02","Las Esmeraldas",1.42
"224","02","Las Granjas",6.08932880844646
"225","02","Las Lomas No.2",1.42105263157895
"226","02","Las Mercedes",1.33213644524237
"227","02","Las Palmas",2.82286261497005
"228","02","Laureles",14.5323396107829
"229","02","Lorena",4.30431358098873
"230","02","Loreto",6.93268005991023
"231","02","Los Ángeles",9.00601998067181
"232","02","Los Alcázares",1.42105263157895
"233","02","Los Alpes",2.99106541606542
"234","02","Los Balsos No.1",1.33213644524237
"235","02","Los Colores",15.7203809412669
"236","02","Los Conquistadores",42.6249237623157
"237","02","Los Mangos",2.78838644524237
"238","02","Los Pinos",6.2897421504115
"239","02","Manila",12.9153530560486
"240","02","Manrique Central No. 1",8.21200622608401
"241","02","Manrique Central No. 2",1.6984126984127
"242","02","Manrique Oriental",5.48783661733747
"243","02","Miraflores",2.85214285714286
"244","02","Miranda",8.86433851925886
"245","02","Moravia",13.3161318103098
"246","02","Naranjal",32.996701130491
"247","02","Nueva Villa de la Iguaná",1.33213644524237
"248","02","Oleoducto",1.29501915708812
"249","02","Palenque",1.42105263157895
"250","02","Parque Juan Pablo II",4.51821191089806
"251","02","Patio Bonito",7.74600015427926
"252","02","Pedregal",2.75415896487985
"253","02","Perpetuo Socorro",46.4097426312695
"254","02","Picacho",3.02498380679189
"255","02","Playón de Los Comuneros",1.50955414012739
"256","02","Popular",1.37707948243993
"257","02","Prado",20.0861010907994
"258","02","Robledo",5.56041389393023
"259","02","Rosales",16.4464829294604
"260","02","San Benito",38.3344771749869
"261","02","San Bernardo",2.84964100582762
"262","02","San Diego",28.8773851728653
"263","02","San Germán",4.02289358013991
"264","02","San Isidro",7.4180579791438
"265","02","San Javier No.1",1.44578313253012
"266","02","San Joaquín",4.04135237292467
"267","02","San Martín de Porres",1.37707948243993
"268","02","San Miguel",1.42
"269","02","San Pedro",5.24226091763405
"270","02","Santa Fé",35.2611931827811
"271","02","Santa Mónica",1.4375
"272","02","Santa María de los Ángeles",5.37842475941861
"273","02","Santa María de Los Ángeles",1.29501915708812
"274","02","Santander",2.79813211401887
"275","02","Santo Domingo Savio No. 2",1.37707948243993
"276","02","Sevilla",10.0733283391503
"277","02","Suburbano La Loma",2.75415896487985
"278","02","Sucre",6.93757097911083
"279","02","Suramericana",15.6765010597964
"280","02","Tejelo",1.42105263157895
"281","02","Tenche",6.17585313639554
"282","02","Terminal de Transporte",30.4796195183758
"283","02","Toscana",4.64972345671604
"284","02","Tricentenario",11.4661561454032
"285","02","Trinidad",7.02181563607106
"286","02","U.D. Atanasio Girardot",2.7092159276823
"287","02","Universidad de Antioquia",4.283510071616
"288","02","Universidad Nacional",16.4910879162852
"289","02","Villa Carlota",32.2437067349953
"290","02","Villa del Socorro",1.33213644524237
"291","02","Villa Flora",5.91859026169075
"292","02","Villa Guadalupe",1.29501915708812
"293","02","Villa Hermosa",1.37707948243993
"294","02","Villa Nueva",30.1626034041758
"295","03","",1.81512605042017
"296","03","Área de Expansión Pajarito",1.50367107195301
"297","03","Alejandría",1.67159763313609
"298","03","Alejandro Echavarría",6.09112572210398
"299","03","Alfonso López",12.1709413783105
"300","03","Aranjuez",2.62715560233049
"301","03","Aures No. 2",2.85189929109217
"302","03","B. Cerro  El Volador",1.33213644524237
"303","03","Barrio Caicedo",7.27806814157398
"304","03","Barrio Colón",35.1114834049856
"305","03","Belén",26.2480168850012
"306","03","Belalcázar",2.59003831417625
"307","03","Berlin",5.32255747126437
"308","03","Bolivariana",7.06627820609152
"309","03","Bomboná No. 1",5.91674482411304
"310","03","Boston",22.7863515878989
"311","03","Boyacá",5.89000552572641
"312","03","Buenos Aires",2.78838644524237
"313","03","Cabecera San Antonio de Prado",16.8582906205032
"314","03","Calasanz",5.91347808766104
"315","03","Calle Nueva",9.05583126602039
"316","03","Campo Alegre",2.75415896487985
"317","03","Campo Amor",55.4725369897073
"318","03","Campo Valdés No. 1",12.1458567195727
"319","03","Campo Valdés No. 2",1.42
"320","03","Caribe",58.1189801494673
"321","03","Carlos E. Restrepo",30.1160453158504
"322","03","Castilla",31.0325567988859
"323","03","Castropol",7.31454020238246
"324","03","Cementerio Universal",1.33213644524237
"325","03","Cerro Nutibara",4.25207948243993
"326","03","Corazón de Jesús",27.0342675111358
"327","03","Cristo Rey",15.3938460158025
"328","03","Cuarta Brigada",6.98034300869657
"329","03","Cucaracho",6.22320626263818
"330","03","Diego Echavarría",1.29501915708812
"331","03","Doce de Octubre No.1",1.37707948243993
"332","03","Doce de Octubre No.2",1.44578313253012
"333","03","El Chagualo",19.7190480848135
"334","03","El Diamante",8.60795448817938
"335","03","El Estadio",12.6262970845168
"336","03","El Pinal",4.04917812196797
"337","03","El Poblado",7.8862906951352
"338","03","El Progreso",18.417788152349
"339","03","El Raizal",1.33213644524237
"340","03","El Rincón",10.2155793187609
"341","03","El Salvador",4.51292604328649
"342","03","El Tesoro",6.02235012140256
"343","03","El Velódromo",5.44173508477042
"344","03","Enciso",1.63694267515924
"345","03","Estación Villa",8.80456491611582
"346","03","Fátima",7.80554889424779
"347","03","Facultad de Minas U. Nacional",10.255251022213
"348","03","Ferrini",1.37707948243993
"349","03","Francisco Antonio Zea",2.66427289048474
"350","03","Gerona",2.62715560233049
"351","03","Girardot",8.54127800786065
"352","03","Granizal",2.82188482872991
"353","03","Guayabal",21.1071229455566
"354","03","Guayaquil",35.7792003061358
"355","03","Héctor Abad Gómez",6.53371213550115
"356","03","Jesús Nazareno",26.7363481213492
"357","03","Kennedy",12.0883783732643
"358","03","La Aguacatala",10.2188425925926
"359","03","La Alpujarra",6.92880362037096
"360","03","La América",10.7474126089597
"361","03","La Candelaria",50.8855320653526
"362","03","La Colina",2.74080228961824
"363","03","La Esperanza",4.24367666847432
"364","03","La Floresta",4.17382703061213
"365","03","La Florida",5.65594051168865
"366","03","La Gloria",4.58835475145084
"367","03","La Milagrosa",4.13744517418151
"368","03","La Mota",1.5546218487395
"369","03","La Palma",2.62715560233049
"370","03","La Salle",4.40481398671391
"371","03","López de Mesa",7.36482533437866
"372","03","Las Acacias",7.78523621309149
"373","03","Las Brisas",8.544514822289
"374","03","Las Granjas",7.60090317415616
"375","03","Las Lomas No.1",2.67209863952805
"376","03","Las Mercedes",1.45625
"377","03","Las Palmas",4.63139278346175
"378","03","Las Playas",2.83332948243993
"379","03","Las Violetas",1.33213644524237
"380","03","Laureles",19.6478996288452
"381","03","Lorena",7.9154601008963
"382","03","Los Ángeles",2.78497421928203
"383","03","Los Balsos No.2",1.29501915708812
"384","03","Los Colores",26.8009393385044
"385","03","Los Conquistadores",36.6462503343703
"386","03","Los Mangos",2.62715560233049
"387","03","Los Pinos",7.94414066961518
"388","03","Manila",17.9596480731211
"389","03","Manrique Central No. 1",1.42105263157895
"390","03","Manrique Central No. 2",7.01395344565419
"391","03","Manrique Oriental",8.69896431116984
"392","03","Miraflores",2.86554455445545
"393","03","Miranda",6.13678294918253
"394","03","Miravalle",1.33213644524237
