"","MES","COMUNA","A�O_2017_PRED","A�O_2018_PRED"
"351","12","Guayabal",261.540261823382,246.797443581254
"352","12","In",5.14876107263464,4.72686164971492
"353","12","La América",97.5088753652136,93.6204582448453
"354","12","La Candelaria",618.183884532366,597.66194919492
"355","12","Laureles Estadio",346.216513916983,317.190509828416
"356","12","Manrique",115.686153939592,113.489771756831
"357","12","Popular",54.5127999191326,54.019827372887
"358","12","Robledo",232.056744309355,223.97381302394
"359","12","San Javier",67.0199603808617,66.6594029399259
"360","12","Santa Cruz",63.661698831027,61.5952258137701
"361","12","Villa Hermosa",96.4999345896261,93.3547748580443
"362","12","Corregimiento de San Sebastián de Palmitas",1.63026232888482,1.22875021478893
"363","12","Altavista",1.06012658227848,0.731012658227848
"364","12","Andalucía",1.06012658227848,0.731012658227848
"365","12","Barrio Colón",1.06012658227848,0.731012658227848
"366","12","Bolivariana",1.06012658227848,0.731012658227848
"367","12","Cabecera San Antonio de Prado",1.06012658227848,0.731012658227848
"368","12","Campo Amor",1.06012658227848,0.731012658227848
"369","12","Girardot",1.06012658227848,0.731012658227848
"370","12","Héctor Abad Gómez",1.06012658227848,0.731012658227848
"371","12","Jesús Nazareno",1.06012658227848,0.731012658227848
"372","12","Las Playas",1.06012658227848,0.731012658227848
"373","12","Santa María de los Ángeles",1.06012658227848,0.731012658227848
"374","12","Simón Bolívar",1.06012658227848,0.731012658227848
"375","12","Universidad de Antioquia",1.06012658227848,0.731012658227848
"376","12","Villa Carlota",1.06012658227848,0.731012658227848
