"","MES","BARRIO","A�O_2017_PRED","A�O_2018_PRED"
"1125","08","Moravia",14.4062362286671,13.8481534831617
"1126","08","Naranjal",31.6789063832822,31.4834389368942
"1127","08","Nueva Villa de la Iguaná",1.4932735426009,1.47982062780269
"1128","08","Olaya Herrera",1.43852978453739,1.42458808618504
"1129","08","Oleoducto",2.92311128233475,2.93119601570046
"1130","08","Parque Juan Pablo II",4.42013072746134,4.33691770400935
"1131","08","Patio Bonito",9.2495003382862,8.92189124319485
"1132","08","Pedregal",11.0301735905104,10.556040475952
"1133","08","Perpetuo Socorro",54.1739711995537,50.6117407940498
"1134","08","Picacho",4.49273121086582,4.38648960520591
"1135","08","Prado",26.2533692815119,25.4222165476049
"1136","08","Robledo",11.3688145957143,11.0474552062083
"1137","08","Rosales",8.16227045021589,7.99505062393721
"1138","08","San Benito",50.3900263723445,48.4366904404794
"1139","08","San Bernardo",3.05256487225669,2.96844773530785
"1140","08","San Diego",35.6344887007093,34.3712022293257
"1141","08","San Germán",1.43852978453739,1.42458808618504
"1142","08","San Isidro",11.2491301295497,10.7854745536223
"1143","08","San Javier No.1",1.76785714285714,1.51785714285714
"1144","08","San Miguel",5.17865980913743,5.01298817008559
"1145","08","San Pedro",7.30578106398543,7.11609110221827
"1146","08","Santa Fé",43.1567974200063,41.8859894846599
"1147","08","Santa Inés",3.06548527687441,2.9486515785049
"1148","08","Santa María de los Ángeles",7.734759374143,7.54800658172681
"1149","08","Santo Domingo Savio No. 1",1.6140350877193,1.54385964912281
"1150","08","Santo Domingo Savio No. 2",1.43852978453739,1.42458808618504
"1151","08","Sevilla",13.1506559230607,12.1312615748061
"1152","08","Sucre",2.96868053830623,2.93212577462726
"1153","08","Suramericana",22.5992004210417,22.3599539158021
"1154","08","Tejelo",6.28436188222104,5.96283504041249
"1155","08","Tenche",7.05396107875174,6.71538381891126
"1156","08","Terminal de Transporte",32.2014992036684,30.8366022049845
"1157","08","Toscana",5.70898687768369,5.61351666570782
"1158","08","Tricentenario",7.94753343256565,7.54891391397762
"1159","08","Trinidad",6.55535545232149,6.088544358335
"1160","08","Universidad de Antioquia",9.31151667190791,8.87934069965789
"1161","08","Universidad Nacional",25.2232346431229,24.8145823706524
"1162","08","Versalles No. 1",1.6140350877193,1.54385964912281
"1163","08","Villa Carlota",18.0763397779407,17.0527788039855
"1164","08","Villa del Socorro",1.6140350877193,1.54385964912281
"1165","08","Villa Flora",2.8899799736925,2.82938001556714
"1166","08","Villa Hermosa",2.8899799736925,2.82938001556714
"1167","08","Villa Nueva",36.6117969960217,34.8250133673006
"1168","08","Villatina",5.86360665427657,5.80881742797547
"1169","09","Alejandría",2.90290037831021,2.80958385876419
"1170","09","Alejandro Echavarría",2.8899799736925,2.82938001556714
"1171","09","Alfonso López",11.4060477020589,12.0379190740357
"1172","09","Altamira",5.0433607555034,4.66804319400004
"1173","09","Altavista",1.45145018915511,1.40479192938209
"1174","09","Asomadera No. 1",2.8899799736925,2.82938001556714
"1175","09","Asomadera No. 2",1.43852978453739,1.42458808618504
"1176","09","Aures No. 2",1.48458149779736,1.50660792951542
"1177","09","Barrio Caicedo",3.06815941416702,3.03569919729616
"1178","09","Barrio Colón",53.2783604735474,52.3439024889997
"1179","09","Barrio Colombia",15.4562095354532,15.4324055744586
"1180","09","Barrio de Jesús",1.45145018915511,1.40479192938209
"1181","09","Belén",35.8890092788906,33.9460710870536
"1182","09","Belalcázar",3.07149778792377,2.85954132535849
"1183","09","Berlin",1.39339752407153,1.33975240715268
"1184","09","Bermejal-Los Alamos",1.43852978453739,1.42458808618504
"1185","09","Bolivariana",9.9304388834776,9.40522527671833
"1186","09","Bomboná No. 1",10.6982337268529,10.1873348228944
"1187","09","Bosques de San Pablo",1.67810026385224,1.5197889182058
"1188","09","Boston",21.2372360911848,20.8815258317045
"1189","09","Boyacá",1.4932735426009,1.47982062780269
"1190","09","Brasilia",3.05256487225669,2.96844773530785
"1191","09","Buenos Aires",9.1356489504592,9.05112869600866
"1192","09","Córdoba",1.45145018915511,1.40479192938209
"1193","09","Cabecera San Antonio de Prado",24.566403245428,23.4876889265969
"1194","09","Cabecera Urbana San Cristobal",1.61567164179104,1.53731343283582
"1195","09","Calasanz",6.14922884685139,5.9860381033266
"1196","09","Calle Nueva",26.3150202049281,26.0571291984261
"1197","09","Campo Amor",51.0355392145827,48.6251923068468
"1198","09","Campo Valdés No. 1",16.0582104485207,15.2454761928903
"1199","09","Campo Valdés No. 2",6.09094198483185,6.10330478111254
"1200","09","Caribe",47.9430469668517,47.9571616427409
"1201","09","Carlos E. Restrepo",28.360570795023,27.3991049611326
