"","SEMANA","COMUNA","A�O_2018_PRED"
"363","15","Corregimiento de Santa Elena",2.32328212704887
"364","15","Doce de Octubre",20.19506268266
"365","15","El Poblado",60.7743112821453
"366","15","Guayabal",54.4955959721778
"367","15","In",1.18795754800816
"368","15","La América",22.1288827348998
"369","15","La Candelaria",130.260626062606
"370","15","Laureles Estadio",73.9676347617629
"371","15","Manrique",20.7714233661755
"372","15","Popular",14.3809502072145
"373","15","Robledo",49.5820128196071
"374","15","San Javier",13.6354429802693
"375","15","Santa Cruz",12.0583738614229
"376","15","Villa Hermosa",20.3683469980347
"377","16","",3.33293777302746
"378","16","Aranjuez",46.5518909349828
"379","16","AU",0.23489932885906
"380","16","Belén",49.5615802741368
"381","16","Buenos Aires",26.57938884971
"382","16","Castilla",69.0968387609154
"383","16","Corregimiento de Altavista",2.31565329711303
"384","16","Corregimiento de San Antonio de Prado",12.2479367246313
"385","16","Corregimiento de San Cristóbal",10.0247550905532
"386","16","Corregimiento de Santa Elena",4.64450317890134
"387","16","Doce de Octubre",23.4846394536661
"388","16","El Poblado",69.1820717638107
"389","16","Guayabal",58.284616285116
"390","16","In",0.692042186001917
"391","16","La América",23.3796875689085
"392","16","La Candelaria",147.678203820382
"393","16","Laureles Estadio",79.525696329814
"394","16","Manrique",23.9088885713968
"395","16","Popular",12.1477881589791
"396","16","Robledo",49.2337484514816
"397","16","San Javier",19.3729596708142
"398","16","Santa Cruz",9.82957464448595
"399","16","Villa Hermosa",23.1455089184731
"400","17","",4.35731641162097
"401","17","Aranjuez",44.8701408823075
"402","17","AU",0.228571428571429
"403","17","Belén",51.2363034845716
"404","17","Buenos Aires",31.296932451184
"405","17","Castilla",67.4044403110388
"406","17","Corregimiento de Altavista",1.147668997669
"407","17","Corregimiento de San Antonio de Prado",8.96764921809432
"408","17","Corregimiento de San Cristóbal",7.84276654793578
"409","17","Corregimiento de Santa Elena",4.80107494564876
"410","17","Doce de Octubre",19.7112418195152
"411","17","El Poblado",53.4039950438778
"412","17","Guayabal",46.1511718459068
"413","17","In",0.487772892077451
"414","17","La América",26.6731763005953
"415","17","La Candelaria",138.395555555556
"416","17","Laureles Estadio",72.2676754398129
"417","17","Manrique",26.2865141959024
