"","MES","COMUNA","A�O_2018_PRED"
"273","10","Corregimiento de Altavista",7.76473054344032
"274","10","Corregimiento de San Antonio de Prado",33.8051650157954
"275","10","Corregimiento de San Cristóbal",41.1928737780075
"276","10","Corregimiento de Santa Elena",11.9206905476358
"277","10","Doce de Octubre",92.9583833377539
"278","10","El Poblado",271.051739497995
"279","10","Guayabal",251.066525471607
"280","10","In",3.64454301742004
"281","10","La América",111.803553060346
"282","10","La Candelaria",627.966128612861
"283","10","Laureles Estadio",334.730208594145
"284","10","Manrique",100.309829205508
"285","10","Popular",58.3380087945538
"286","10","Robledo",231.133507345702
"287","10","San Javier",72.32293087722
"288","10","Santa Cruz",49.9431806760111
"289","10","SN",0.228571428571429
"290","10","Villa Hermosa",88.2364231101162
"291","10","Antonio Nariño",0.252873563218391
"292","10","Boston",0.252873563218391
"293","10","Campo Valdés No. 2",1.41279069767442
"294","10","Caribe",0.252873563218391
"295","10","Cristo Rey",0.252873563218391
"296","10","El Nogal-Los Almendros",0.252873563218391
"297","10","Fátima",0.252873563218391
"298","10","La Alpujarra",0.252873563218391
"299","10","La Floresta",0.252873563218391
"300","10","Las Esmeraldas",0.252873563218391
"301","10","Las Granjas",0.252873563218391
"302","10","Los Mangos",0.252873563218391
"303","10","Manila",0.252873563218391
"304","10","Oleoducto",0.252873563218391
"305","10","Parque Juan Pablo II",0.252873563218391
"306","10","Santa Fé",0.252873563218391
"307","10","Santa Inés",0.252873563218391
"308","11","",11.4620929082951
"309","11","Aranjuez",186.589388970033
"310","11","AU",0.33974358974359
"311","11","Belén",215.357240264724
"312","11","Buenos Aires",117.542976394068
"313","11","Castilla",296.927895030206
"314","11","Corregimiento de Altavista",10.323213212447
"315","11","Corregimiento de San Antonio de Prado",32.7760942894231
"316","11","Corregimiento de San Cristóbal",36.8549935476526
"317","11","Corregimiento de Santa Elena",19.1069509396369
"318","11","Doce de Octubre",90.0836889027527
"319","11","El Poblado",261.034079476374
"320","11","Guayabal",244.274785089203
"321","11","In",3.83957299539907
"322","11","La América",99.8024320960836
"323","11","La Candelaria",598.314127626926
"324","11","Laureles Estadio",323.507311341969
"325","11","Manrique",100.078644486414
"326","11","Popular",52.3700440033826
"327","11","Robledo",211.147820027388
"328","11","San Javier",62.7553429355918
"329","11","Santa Cruz",55.649006397175
"330","11","Villa Hermosa",83.8008776678387
"331","11","Corregimiento de San Sebastián de Palmitas",0.631288863764839
"332","11","Alejandro Echavarría",0.252873563218391
"333","11","Cabecera San Antonio de Prado",0.505747126436782
"334","11","Cristo Rey",0.252873563218391
"335","11","Florida Nueva",0.252873563218391
"336","11","Naranjal",0.252873563218391
"337","11","Suramericana",0.252873563218391
"338","11","Toscana",0.252873563218391
"339","12","",7.65055292618193
"340","12","Aranjuez",203.303322136888
"341","12","AU",0.23489932885906
"342","12","Belén",213.703629336203
"343","12","Buenos Aires",121.355675124594
"344","12","Castilla",311.221458411193
"345","12","Corregimiento de Altavista",10.1392765738097
"346","12","Corregimiento de San Antonio de Prado",32.8668743745722
"347","12","Corregimiento de San Cristóbal",40.4332362755123
"348","12","Corregimiento de Santa Elena",13.3982239861003
"349","12","Doce de Octubre",84.1312951065024
"350","12","El Poblado",255.321620000298
"351","12","Guayabal",236.3395032636
"352","12","In",2.96012728473208
"353","12","La América",93.4865994418937
"354","12","La Candelaria",587.805279792646
"355","12","Laureles Estadio",319.500023883537
"356","12","Manrique",103.011643387239
"357","12","Popular",54.7324583419577
"358","12","Robledo",217.778904463439
"359","12","San Javier",64.5663751984859
"360","12","Santa Cruz",57.6109637579636
"361","12","Villa Hermosa",89.4008060283245
"362","12","Corregimiento de San Sebastián de Palmitas",0.487772892077451
"363","12","Altavista",0.252873563218391
"364","12","Andalucía",1.41279069767442
"365","12","Barrio Colón",0.252873563218391
"366","12","Bolivariana",0.252873563218391
"367","12","Cabecera San Antonio de Prado",0.252873563218391
"368","12","Campo Amor",0.252873563218391
"369","12","Girardot",0.252873563218391
"370","12","Héctor Abad Gómez",0.252873563218391
"371","12","Jesús Nazareno",0.252873563218391
"372","12","Las Playas",0.252873563218391
"373","12","Santa María de los Ángeles",0.252873563218391
"374","12","Simón Bolívar",0.252873563218391
"375","12","Universidad de Antioquia",0.252873563218391
"376","12","Villa Carlota",0.252873563218391
